Id,Category
0,0
1,1
2,1
3,1
4,0
5,2
6,2
7,0
8,3
9,1
10,2
11,0
12,0
13,2
14,3
15,2
16,1
17,0
18,2
19,2
20,3
21,0
22,2
23,3
24,3
25,1
26,0
27,3
28,1
29,1
30,2
31,3
32,1
33,0
34,1
35,2
36,0
37,1
38,0
39,3
40,3
41,1
42,1
43,1
44,3
45,1
46,3
47,1
48,3
49,3
50,1
51,2
52,1
53,1
54,3
55,2
56,1
57,2
58,1
59,1
60,1
61,2
62,2
63,1
64,2
65,1
66,1
67,2
68,1
69,3
70,2
71,2
72,1
73,1
74,1
75,1
76,0
77,3
78,1
79,1
80,1
81,2
82,1
83,1
84,2
85,1
86,3
87,3
88,0
89,0
90,1
91,0
92,0
93,1
94,3
95,1
96,3
97,1
98,1
99,1
100,1
101,1
102,3
103,3
104,3
105,3
106,2
107,0
108,0
109,2
110,1
111,2
112,2
113,3
114,0
115,2
116,1
117,1
118,0
119,3
120,2
121,0
122,1
123,0
124,3
125,0
126,3
127,2
128,1
129,3
130,2
131,3
132,1
133,1
134,3
135,3
136,3
137,2
138,0
139,3
140,2
141,0
142,0
143,0
144,1
145,0
146,2
147,0
148,0
149,1
150,1
151,2
152,1
153,0
154,2
155,0
156,0
157,2
158,0
159,2
160,1
161,1
162,0
163,1
164,3
165,0
166,3
167,3
168,0
169,2
170,3
171,3
172,0
173,0
174,0
175,3
176,1
177,0
178,0
179,0
180,1
181,3
182,2
183,0
184,1
185,3
186,3
187,1
188,1
189,1
190,1
191,3
192,1
193,2
194,1
195,1
196,0
197,2
198,1
199,3
200,2
201,1
202,3
203,1
204,1
205,1
206,0
207,0
208,2
209,1
210,2
211,0
212,1
213,1
214,1
215,0
216,3
217,1
218,1
219,0
220,1
221,1
222,2
223,1
224,1
225,3
226,1
227,1
228,1
229,1
230,3
231,2
232,2
233,3
234,0
235,1
236,2
237,2
238,3
239,1
240,3
241,1
242,2
243,2
244,1
245,0
246,0
247,2
248,1
249,1
250,2
251,1
252,0
253,1
254,1
255,0
256,0
257,2
258,3
259,2
260,3
261,0
262,2
263,0
264,1
265,2
266,2
267,0
268,1
269,3
270,0
271,3
272,0
273,1
274,2
275,0
276,1
277,0
278,0
279,1
280,1
281,3
282,1
283,1
284,1
285,0
286,1
287,1
288,1
289,0
290,2
291,1
292,3
293,3
294,2
295,2
296,1
297,2
298,1
299,0
300,1
301,2
302,1
303,0
304,3
305,3
306,1
307,0
308,1
309,1
310,0
311,2
312,1
313,1
314,1
315,0
316,0
317,3
318,1
319,1
320,1
321,2
322,1
323,2
324,2
325,0
326,1
327,0
328,0
329,1
330,2
331,2
332,1
333,1
334,1
335,1
336,3
337,1
338,1
339,3
340,3
341,3
342,0
343,2
344,1
345,2
346,2
347,1
348,2
349,0
350,2
351,2
352,2
353,3
354,1
355,3
356,0
357,1
358,3
359,2
360,3
361,1
362,0
363,2
364,2
365,1
366,3
367,1
368,1
369,2
370,0
371,0
372,2
373,3
374,3
375,1
376,1
377,0
378,3
379,0
380,3
381,1
382,0
383,2
384,3
385,2
386,0
387,3
388,3
389,0
390,1
391,3
392,1
393,2
394,1
395,2
396,1
397,2
398,1
399,1
400,2
401,1
402,2
403,1
404,0
405,3
406,2
407,1
408,1
409,3
410,2
411,2
412,3
413,0
414,1
415,1
416,1
417,1
418,3
419,2
420,3
421,1
422,1
423,3
424,1
425,2
426,1
427,3
428,3
429,0
430,0
431,0
432,1
433,2
434,1
435,0
436,1
437,1
438,1
439,3
440,3
441,3
442,1
443,3
444,1
445,1
446,1
447,1
448,2
449,2
450,1
451,3
452,1
453,1
454,3
455,1
456,2
457,0
458,0
459,1
460,1
461,1
462,0
463,3
464,1
465,1
466,3
467,1
468,2
469,0
470,3
471,2
472,1
473,0
474,2
475,3
476,3
477,3
478,1
479,2
480,1
481,2
482,1
483,0
484,0
485,3
486,0
487,1
488,0
489,1
490,2
491,1
492,1
493,2
494,0
495,2
496,0
497,0
498,3
499,3
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,3
508,2
509,1
510,1
511,0
512,1
513,1
514,0
515,1
516,3
517,0
518,0
519,1
520,0
521,2
522,0
523,0
524,0
525,0
526,1
527,1
528,2
529,1
530,0
531,3
532,0
533,1
534,3
535,1
536,2
537,0
538,2
539,1
540,3
541,3
542,1
543,3
544,0
545,1
546,0
547,1
548,1
549,1
550,1
551,0
552,0
553,0
554,3
555,3
556,3
557,3
558,1
559,3
560,3
561,1
562,1
563,0
564,0
565,1
566,0
567,2
568,1
569,3
570,3
571,3
572,0
573,2
574,1
575,2
576,0
577,0
578,1
579,2
580,1
581,2
582,0
583,0
584,2
585,3
586,0
587,2
588,1
589,3
590,3
591,1
592,0
593,0
594,1
595,0
596,1
597,1
598,3
599,1
600,2
601,3
602,1
603,3
604,0
605,0
606,2
607,3
608,2
609,3
610,2
611,0
612,2
613,1
614,2
615,1
616,2
617,0
618,0
619,1
620,0
621,3
622,1
623,1
624,1
625,2
626,0
627,1
628,2
629,2
630,1
631,1
632,0
633,1
634,0
635,0
636,2
637,3
638,1
639,1
640,1
641,2
642,2
643,2
644,2
645,1
646,2
647,0
648,2
649,0
650,1
651,2
652,1
653,1
654,1
655,0
656,0
657,0
658,1
659,2
660,1
661,1
662,1
663,2
664,2
665,2
666,1
667,0
668,3
669,3
670,0
671,0
672,2
673,1
674,1
675,1
676,0
677,2
678,1
679,0
680,2
681,1
682,3
683,1
684,2
685,2
686,1
687,2
688,3
689,1
690,1
691,0
692,1
693,1
694,0
695,1
696,0
697,3
698,3
699,1
700,1
701,3
702,3
703,1
704,3
705,2
706,1
707,1
708,0
709,0
710,1
711,3
712,1
713,1
714,0
715,1
716,1
717,1
718,1
719,1
720,0
721,0
722,3
723,3
724,3
725,0
726,0
727,1
728,2
729,1
730,0
731,2
732,1
733,0
734,0
735,1
736,0
737,1
738,1
739,2
740,0
741,0
742,2
743,2
744,1
745,1
746,2
747,2
748,1
749,3
750,3
751,0
752,0
753,1
754,2
755,2
756,1
757,2
758,0
759,1
760,3
761,2
762,2
763,1
764,2
765,1
766,0
767,0
768,1
769,2
770,2
771,1
772,1
773,0
774,2
775,1
776,3
777,0
778,2
779,3
780,0
781,0
782,1
783,3
784,1
785,1
786,2
787,1
788,1
789,1
790,1
791,0
792,1
793,2
794,1
795,1
796,2
797,1
798,3
799,1
800,0
801,1
802,3
803,0
804,3
805,2
806,3
807,1
808,1
809,2
810,2
811,0
812,2
813,3
814,3
815,1
816,1
817,3
818,3
819,2
820,2
821,1
822,2
823,3
824,1
825,2
826,1
827,1
828,2
829,1
830,1
831,2
832,3
833,0
834,0
835,0
836,1
837,1
838,2
839,2
840,1
841,3
842,1
843,2
844,0
845,3
846,0
847,3
848,2
849,1
850,3
851,1
852,2
853,0
854,1
855,1
856,3
857,1
858,3
859,2
860,0
861,3
862,1
863,1
864,2
865,2
866,1
867,1
868,3
869,2
870,1
871,0
872,0
873,1
874,1
875,2
876,2
877,0
878,0
879,1
880,1
881,1
882,0
883,3
884,1
885,1
886,0
887,3
888,2
889,3
890,1
891,3
892,0
893,0
894,2
895,1
896,1
897,3
898,1
899,2
900,0
901,2
902,3
903,2
904,3
905,1
906,1
907,2
908,2
909,0
910,0
911,3
912,1
913,0
914,0
915,3
916,0
917,2
918,3
919,3
920,2
921,3
922,2
923,2
924,1
925,3
926,3
927,1
928,1
929,0
930,1
931,3
932,0
933,2
934,1
935,1
936,3
937,1
938,0
939,1
940,0
941,3
942,1
943,1
944,1
945,1
946,2
947,0
948,1
949,1
950,3
951,2
952,2
953,3
954,2
955,0
956,0
957,0
958,0
959,0
960,1
961,3
962,2
963,0
964,2
965,0
966,1
967,0
968,1
969,1
970,0
971,2
972,3
973,1
974,1
975,0
976,1
977,3
978,1
979,2
980,0
981,2
982,0
983,0
984,0
985,1
986,1
987,0
988,2
989,2
990,1
991,1
992,1
993,2
994,0
995,0
996,1
997,3
998,3
999,3
1000,3
1001,0
1002,1
1003,0
1004,1
1005,0
1006,2
1007,1
1008,3
1009,2
1010,1
1011,3
1012,3
1013,2
1014,1
1015,2
1016,2
1017,0
1018,0
1019,3
1020,2
1021,1
1022,1
1023,1
1024,1
1025,3
1026,2
1027,2
1028,2
1029,3
1030,3
1031,2
1032,3
1033,1
1034,1
1035,0
1036,1
1037,1
1038,0
1039,1
1040,3
1041,3
1042,0
1043,1
1044,1
1045,3
1046,1
1047,1
1048,1
1049,0
1050,1
1051,3
1052,0
1053,1
1054,0
1055,2
1056,1
1057,1
1058,3
1059,1
1060,2
